title,artist,year,chart_position,weeks_on_chart,decade,top10
shoeshine boy,eddie kendricks,1975,77,1,1970s,0.0
cant get it out of my head,electric light orchestra,1975,79,1,1970s,0.0
shalala,al green,1975,80,1,1970s,0.0
lonely people,america,1975,81,1,1970s,0.0
rockford files,mike post,1975,82,1,1970s,0.0
it only takes a minute,tavares,1975,83,1,1970s,0.0
no no songsnookeroo,ringo starr,1975,85,1,1970s,0.0
bungle in the jungle,jethro tull,1975,87,1,1970s,0.0
long tall glasses,leo sayer,1975,88,1,1970s,0.0
misty,ray stevens,1975,89,1,1970s,0.0
someone saved my life tonight,elton john,1975,90,1,1970s,0.0
bad blood,neil sedaka,1975,91,1,1970s,0.0
only yesterday,carpenters,1975,92,1,1970s,0.0
only you,ringo starr,1975,94,1,1970s,0.0
third rate romance,amazing rhythm aces,1975,95,1,1970s,0.0
you aint seen nothing yetfree wheelin,bachman-turner overdrive,1975,96,1,1970s,0.0
swearin to god,frankie valli,1975,97,1,1970s,0.0
silly love songs,wings,1976,1,1,1970s,1.0
dont go breaking my heart,elton john & kiki dee,1976,2,1,1970s,1.0
disco lady,johnnie taylor,1976,3,1,1970s,1.0
play that funky music,wild cherry,1976,5,1,1970s,1.0
50 ways to leave your lover,paul simon,1976,8,1,1970s,1.0
love is alive,gary wright,1976,9,1,1970s,1.0
a fifth of beethoven,walter murphy & the big apple band,1976,10,1,1970s,1.0
afternoon delight,starland vocal band,1976,12,1,1970s,0.0
i write the songs,barry manilow,1976,13,1,1970s,0.0
fly robin fly,silver convention,1976,14,1,1970s,0.0
love hangover,diana ross,1976,15,1,1970s,0.0
get closer,seals & crofts,1976,16,1,1970s,0.0
more more more,andrea true connection,1976,17,1,1970s,0.0
bohemian rhapsody,queen,1976,18,1,1970s,0.0
misty blue,dorothy moore,1976,19,1,1970s,0.0
boogie fever,the sylvers,1976,20,1,1970s,0.0
id really love to see you tonight,england dan & john ford coley,1976,21,1,1970s,0.0
love hurts,nazareth,1976,23,1,1970s,0.0
get up and boogie,silver convention,1976,24,1,1970s,0.0
take it to the limit,eagles,1976,25,1,1970s,0.0
